+----+-------+--------------------------------------------------------------------+-------+------------------------------+-------------+------------------+--------------------+-----------+-----------+-----------+-----------+---------+---------+-----+
|    | Color |                            Process Name                            |  Id   |             User             | Cpu Percent | Cpu User Percent | Cpu System Percent |           |           |           |           |         |         |     |
+----+-------+--------------------------------------------------------------------+-------+------------------------------+-------------+------------------+--------------------+-----------+-----------+-----------+-----------+---------+---------+-----+
| 0  |       |                                                                    |       |                              |             |                  |                    |           |           |           |           |         |         |     |
| 1  |       |                        zoomview-pinkey.exe                         | 10312 |     NT AUTHORITY\SYSTEM      |   0.02 %    |     26.98 %      |      73.02 %       | 15.23 MB  | 18.01 MB  |  0.07 MB  |  4.65 MB  |   507   |  28298  | 10  |
| 2  |       |                     zoomview-pinkey-infra.exe                      | 3316  |     NT AUTHORITY\SYSTEM      |   96.54 %   |      4.26 %      |      95.74 %       |  8.91 MB  | 16.14 MB  |   0 MB    |   0 MB    |   13    |   14    | 13  |
| 3  |       |                    zoomview-pinkey-apm-iis.exe                     | 15776 |     NT AUTHORITY\SYSTEM      |     0 %     |       0 %        |        0 %         |  5.24 MB  | 12.81 MB  |   0 MB    |   0 MB    |    0    |    1    |  7  |
| 4  |       |                            winlogon.exe                            | 12924 |     NT AUTHORITY\SYSTEM      |     0 %     |     15.79 %      |      84.21 %       | 10.35 MB  |  2.55 MB  |  0.03 MB  |   0 MB    |    3    |    0    |  3  |
| 5  |       |                            wininit.exe                             |  564  |     NT AUTHORITY\SYSTEM      |   0.02 %    |     72.96 %      |      27.04 %       |  7.26 MB  |  1.7 MB   |  0.01 MB  |   0 MB    |    1    |    0    |  3  |
| 6  |       |                          wazuh-agent.exe                           | 3188  |     NT AUTHORITY\SYSTEM      |   0.02 %    |     21.77 %      |      78.23 %       | 12.09 MB  |  4.87 MB  | 258.55 MB | 59.19 MB  | 100066  | 161462  |  7  |
| 7  |       |                            vmtoolsd.exe                            | 3240  |     NT AUTHORITY\SYSTEM      |   0.08 %    |     36.97 %      |      63.03 %       | 23.92 MB  | 10.27 MB  |  1.87 MB  | 14.33 MB  | 118158  |  59081  |  9  |
| 8  |       |                           uamsclient.exe                           | 3288  |     NT AUTHORITY\SYSTEM      |   0.14 %    |     44.86 %      |      55.14 %       | 36.56 MB  | 27.55 MB  | 10.49 MB  |  2.65 MB  |   343   |  6681   | 13  |
| 9  |       |                           taskhostw.exe                            | 15192 |      ZCS-SERVER\zybisys      |     0 %     |     52.17 %      |      47.83 %       | 17.26 MB  |  6.36 MB  |  3.8 MB   |  42.8 MB  |   97    |  1497   |  4  |
| 10 |       |                            svchost.exe                             | 15896 |     NT AUTHORITY\SYSTEM      |    0.2 %    |     42.86 %      |      57.14 %       | 16.14 MB  |  5.13 MB  |  0.04 MB  |   0 MB    |    7    |    0    | 13  |
| 11 |       |                            spoolsv.exe                             | 2976  |     NT AUTHORITY\SYSTEM      |     0 %     |     39.02 %      |      60.98 %       | 25.95 MB  |  8.2 MB   |  1.12 MB  |  0.5 MB   |  2982   |  8081   |  7  |
| 12 |       |                              smss.exe                              |  384  |     NT AUTHORITY\SYSTEM      |     0 %     |       0 %        |       100 %        |  1.3 MB   |  0.56 MB  |  0.01 MB  |  0.03 MB  |   21    |   33    |  2  |
| 13 |       |                          smartscreen.exe                           | 14304 |      ZCS-SERVER\zybisys      |     0 %     |     52.63 %      |      47.37 %       | 26.08 MB  |  8.96 MB  |  0.01 MB  |   0 MB    |   36    |   15    |  8  |
| 14 |       |                             sihost.exe                             | 12264 |      ZCS-SERVER\zybisys      |     0 %     |     54.94 %      |      45.06 %       | 27.43 MB  |  6.11 MB  |   0 MB    |   0 MB    |    1    |    0    |  7  |
| 15 |       |                            services.exe                            |  712  |     NT AUTHORITY\SYSTEM      |   0.12 %    |     40.92 %      |      59.08 %       | 11.74 MB  |  6.6 MB   |   0 MB    |  0.41 MB  |    3    |   393   |  6  |
| 16 |       |                            rdpclip.exe                             | 13892 |      ZCS-SERVER\zybisys      |     0 %     |     13.33 %      |      86.67 %       | 13.17 MB  |  3.2 MB   | 28.89 MB  |  0.01 MB  |  18361  |   573   |  5  |
| 17 |       |                           powershell.exe                           | 14708 |      ZCS-SERVER\zybisys      |     0 %     |     66.67 %      |      33.33 %       | 88.94 MB  | 73.04 MB  |  0.93 MB  |  0.01 MB  |   414   |   96    | 11  |
| 18 |       |                              nssm.exe                              | 3204  |     NT AUTHORITY\SYSTEM      |     0 %     |      6.61 %      |      93.39 %       |  7.23 MB  |  2.31 MB  |   0 MB    |   0 MB    |    0    |    0    |  1  |
| 19 |       |                         newrelic-infra.exe                         | 4988  |     NT AUTHORITY\SYSTEM      |   0.68 %    |     35.58 %      |      64.42 %       | 102.9 MB  |  92.3 MB  |  1.1 GB   | 552.73 MB | 1475711 | 2990005 | 22  |
| 20 |       |                     newrelic-infra-service.exe                     | 3196  |     NT AUTHORITY\SYSTEM      |     0 %     |      9.09 %      |      90.91 %       |  6.1 MB   | 13.31 MB  |   0 MB    |   0 MB    |    0    |    0    |  6  |
| 21 |       |                             msdtc.exe                              | 4452  | NT AUTHORITY\NETWORK SERVICE |     0 %     |       60 %       |        40 %        | 10.85 MB  |  3.1 MB   |   0 MB    |  0.39 MB  |    1    |    4    |  9  |
| 22 |       |                             lsass.exe                              |  720  |     NT AUTHORITY\SYSTEM      |   1.45 %    |     79.75 %      |      20.25 %       | 41.49 MB  | 31.51 MB  |  2.76 MB  | 578.95 MB |  42756  | 110862  |  8  |
| 23 |       |                            klnagent.exe                            | 8360  |     NT AUTHORITY\SYSTEM      |   0.49 %    |     68.48 %      |      31.52 %       | 36.97 MB  | 29.61 MB  | 18.91 GB  | 30.06 MB  | 1503199 |  49547  | 34  |
| 24 |       |                            iexplore.exe                            | 10532 |      ZCS-SERVER\zybisys      |     0 %     |     31.43 %      |      68.57 %       | 36.04 MB  | 12.79 MB  |  0.01 MB  |  0.01 MB  |   19    |    1    | 14  |
| 25 |       |                             httpd.exe                              | 4740  |     NT AUTHORITY\SYSTEM      |     0 %     |     38.64 %      |      61.36 %       | 11.11 MB  |  5.56 MB  |  0.17 MB  |   0 MB    |   55    |    5    | 67  |
| 26 |       |                          fontdrvhost.exe                           | 6264  |   Font Driver Host\UMFD-2    |     0 %     |     33.33 %      |      66.67 %       |  5.11 MB  |  1.75 MB  |   0 MB    |   0 MB    |    0    |    0    |  5  |
| 27 |       |                           fluent-bit.exe                           | 5604  |     NT AUTHORITY\SYSTEM      |   1.62 %    |     77.24 %      |      22.76 %       | 31.42 MB  | 33.62 MB  |  2.74 MB  |  1.63 GB  |   679   | 1118851 | 17  |
| 28 |       |                            explorer.exe                            | 14856 |      ZCS-SERVER\zybisys      |   0.01 %    |     43.79 %      |      56.21 %       | 165.33 MB | 68.18 MB  |  3.36 MB  | 29.46 MB  |  37767  |  1073   | 45  |
