+----+-------+--------------------------------------------------------------------+-------+------------------------------+-------------+------------------+--------------------+----------+-----------+-----------+-----------+----------+---------+-----+
|    | Color |                            Process Name                            |  Id   |             User             | Cpu Percent | Cpu User Percent | Cpu System Percent |          |           |           |           |          |         |     |
+----+-------+--------------------------------------------------------------------+-------+------------------------------+-------------+------------------+--------------------+----------+-----------+-----------+-----------+----------+---------+-----+
| 0  |       |                                                                    |       |                              |             |                  |                    |          |           |           |           |          |         |     |
| 1  |       |                        zoomview-pinkey.exe                         | 19156 |     NT AUTHORITY\SYSTEM      |   0.04 %    |     32.66 %      |      67.34 %       | 14.79 MB | 17.75 MB  |  0.03 MB  |  2.87 MB  |   392    |  17361  | 12  |
| 2  |       |                     zoomview-pinkey-infra.exe                      | 14180 |     NT AUTHORITY\SYSTEM      |  116.76 %   |      8.39 %      |      91.61 %       | 9.56 MB  | 16.63 MB  |   0 MB    |   0 MB    |    19    |   14    | 13  |
| 3  |       |                            winlogon.exe                            | 46476 |     NT AUTHORITY\SYSTEM      |     0 %     |     11.11 %      |      88.89 %       | 1.47 MB  |  2.55 MB  |  0.03 MB  |   0 MB    |    3     |    0    |  3  |
| 4  |       |                            wininit.exe                             |  572  |     NT AUTHORITY\SYSTEM      |   0.03 %    |     73.85 %      |      26.15 %       | 1.68 MB  |  1.77 MB  |  0.01 MB  |   0 MB    |    1     |    0    |  3  |
| 5  |       |                          wazuh-agent.exe                           | 3276  |     NT AUTHORITY\SYSTEM      |   0.02 %    |     24.02 %      |      75.98 %       | 4.68 MB  |  4.88 MB  |  5.19 GB  | 893.08 MB | 2008843  | 2772458 |  7  |
| 6  |       |                            vmtoolsd.exe                            | 3376  |     NT AUTHORITY\SYSTEM      |   0.08 %    |     52.39 %      |      47.61 %       | 10.9 MB  |  12.5 MB  |  16.2 MB  | 208.01 MB | 1708383  | 854267  |  9  |
| 7  |       |                            updater.exe                             | 71560 |     NT AUTHORITY\SYSTEM      |   0.68 %    |       0 %        |       100 %        | 11.74 MB |  3.88 MB  |   0 MB    |   0 MB    |   119    |   23    | 12  |
| 8  |       |                           uamsclient.exe                           | 6516  |     NT AUTHORITY\SYSTEM      |   1.68 %    |     64.28 %      |      35.72 %       | 45.87 MB | 51.19 MB  |  1.17 GB  |  1.09 GB  | 2340919  | 5934173 | 21  |
| 9  |       |                   uams-otel-collector-plugin.exe                   | 8008  |     NT AUTHORITY\SYSTEM      |   0.32 %    |     47.72 %      |      52.28 %       | 29.29 MB | 43.36 MB  |  0.81 MB  |  1.17 MB  |    44    |  7632   |  9  |
| 10 |       |                           taskhostw.exe                            | 64368 |      ZCS-SERVER\obulesu      |     0 %     |     38.64 %      |      61.36 %       | 4.33 MB  |  4.4 MB   |  5.08 MB  | 10.89 MB  |    59    |  1148   |  4  |
| 11 |       |                            svchost.exe                             | 54048 |      ZCS-SERVER\obulesu      |     0 %     |     67.65 %      |      32.35 %       | 2.61 MB  |  3.54 MB  |  0.01 MB  |  0.33 MB  |    34    |   173   |  4  |
| 12 |       |                            spoolsv.exe                             | 2904  |     NT AUTHORITY\SYSTEM      |     0 %     |     47.41 %      |      52.59 %       | 16.17 MB | 10.35 MB  | 12.67 MB  |  4.56 MB  |  33710   |  63352  |  7  |
| 13 |       |                              smss.exe                              |  380  |     NT AUTHORITY\SYSTEM      |     0 %     |      2.94 %      |      97.06 %       | 0.39 MB  |  0.56 MB  |  0.01 MB  |  0.14 MB  |    21    |   268   |  2  |
| 14 |       |                          smartscreen.exe                           | 72556 |      ZCS-SERVER\obulesu      |     0 %     |     38.33 %      |      61.67 %       | 14.25 MB |  9.85 MB  |  0.15 MB  |  0.04 MB  |   448    |   130   | 10  |
| 15 |       |                             sihost.exe                             | 41324 |      ZCS-SERVER\obulesu      |     0 %     |     69.79 %      |      30.21 %       | 23.85 MB |  6.13 MB  |   0 MB    |   0 MB    |    0     |    0    |  7  |
| 16 |       |                            services.exe                            |  712  |     NT AUTHORITY\SYSTEM      |   0.14 %    |     39.33 %      |      60.67 %       | 8.49 MB  |  7.7 MB   |   0 MB    |   0 MB    |    3     |    1    |  6  |
| 17 |       |                            rdpclip.exe                             | 47708 |      ZCS-SERVER\obulesu      |     0 %     |     17.65 %      |      82.35 %       | 2.02 MB  |  3.03 MB  |  0.08 MB  |  0.01 MB  |   228    |   554   |  5  |
| 18 |       |                           powershell.exe                           |  456  |       ZCS-SERVER\zcsit       |   0.02 %    |     41.08 %      |      58.92 %       | 24.88 MB | 71.92 MB  |  0.38 MB  |  0.02 MB  |   146    |   16    | 12  |
| 19 |       |                              nssm.exe                              | 27128 |     NT AUTHORITY\SYSTEM      |     0 %     |       0 %        |       100 %        | 6.94 MB  |  1.94 MB  |   0 MB    |   0 MB    |    0     |    0    |  1  |
| 20 |       |                            notepad.exe                             | 7516  |      ZCS-SERVER\zybisys      |     0 %     |     17.39 %      |      82.61 %       | 3.65 MB  |  2.93 MB  |   0 MB    |   0 MB    |    1     |    0    |  1  |
| 21 |       |                             msdtc.exe                              | 5208  | NT AUTHORITY\NETWORK SERVICE |     0 %     |       25 %       |        75 %        | 1.53 MB  |  2.91 MB  |   0 MB    |  0.2 MB   |    1     |    3    |  9  |
| 22 |       |                              mmc.exe                               | 42688 |      ZCS-SERVER\zybisys      |     0 %     |     47.06 %      |      52.94 %       | 54.37 MB |  17.4 MB  |  0.56 MB  |  0.01 MB  |    71    |    4    | 11  |
| 23 |       |                             lsass.exe                              |  732  |     NT AUTHORITY\SYSTEM      |   2.85 %    |     79.12 %      |      20.88 %       | 40.65 MB | 38.12 MB  | 257.6 MB  |  7.49 GB  | 4104712  | 3754079 | 10  |
| 24 |       |                            klnagent.exe                            | 5900  |     NT AUTHORITY\SYSTEM      |   0.27 %    |     71.71 %      |      28.29 %       | 45.45 MB | 91.84 MB  | 344.95 GB | 388.84 MB | 26663220 | 684057  | 33  |
| 25 |       |                            iexplore.exe                            | 57132 |       ZCS-SERVER\test        |     0 %     |     44.28 %      |      55.72 %       | 4.16 MB  |   29 MB   |  5.29 MB  |  5.33 MB  |   134    |   303   | 16  |
| 26 |       |                             httpd.exe                              | 3088  |     NT AUTHORITY\SYSTEM      |     0 %     |       40 %       |        60 %        | 1.27 MB  |  2.63 MB  |  0.17 MB  |   0 MB    |   239    |   14    |  4  |
| 27 |       |                          fontdrvhost.exe                           | 32544 |   Font Driver Host\UMFD-7    |     0 %     |     64.71 %      |      35.29 %       | 0.65 MB  |  3.76 MB  |   0 MB    |   0 MB    |    0     |    0    |  5  |
| 28 |       |                           fluent-bit.exe                           | 28004 |     NT AUTHORITY\SYSTEM      |   0.26 %    |     25.46 %      |      74.54 %       | 22.02 MB | 13.36 MB  |  0.01 MB  |   0 MB    |    3     |   47    | 25  |
