+----+-------+--------------------------------------------------------------------+-------+------------------------------+-------------+------------------+--------------------+-----------+-----------+-----------+-----------+----------+---------+-----+
|    | Color |                            Process Name                            |  Id   |             User             | Cpu Percent | Cpu User Percent | Cpu System Percent |           |           |           |           |          |         |     |
+----+-------+--------------------------------------------------------------------+-------+------------------------------+-------------+------------------+--------------------+-----------+-----------+-----------+-----------+----------+---------+-----+
| 0  |       |                                                                    |       |                              |             |                  |                    |           |           |           |           |          |         |     |
| 1  |       |                            TiWorker.exe                            | 57824 |     NT AUTHORITY\SYSTEM      |   4.88 %    |     93.22 %      |       6.78 %       | 77.71 MB  | 198.63 MB | 23.89 GB  | 472.73 MB |  323476  | 2873654 |  3  |
| 2  |       |                           Wireshark.exe                            | 64044 |      ZCS-SERVER\zybisys      |   0.06 %    |     20.93 %      |      79.07 %       | 40.67 MB  | 157.51 MB |  1.4 MB   |  0.1 MB   |   584    |   22    | 18  |
| 3  |       |                              avp.exe                               | 14680 |     NT AUTHORITY\SYSTEM      |   0.14 %    |     67.87 %      |      32.13 %       | 55.18 MB  | 121.57 MB |  4.87 GB  |  1.06 GB  |  359854  | 508758  | 118 |
| 4  |       |                            klnagent.exe                            | 5900  |     NT AUTHORITY\SYSTEM      |   0.27 %    |     71.71 %      |      28.29 %       | 45.51 MB  | 91.97 MB  | 345.03 GB | 388.94 MB | 26669417 | 684247  | 35  |
| 5  |       |                         ServerManager.exe                          | 60796 |      ZCS-SERVER\obulesu      |     0 %     |     71.59 %      |      28.41 %       | 36.38 MB  |  91.1 MB  |  0.82 MB  |  0.01 MB  |   256    |   51    |  7  |
| 6  |       |                           powershell.exe                           |  456  |       ZCS-SERVER\zcsit       |   0.02 %    |     41.09 %      |      58.91 %       | 24.88 MB  | 71.92 MB  |  0.38 MB  |  0.02 MB  |   146    |   16    | 12  |
| 7  |       |                           uamsclient.exe                           | 6516  |     NT AUTHORITY\SYSTEM      |   1.68 %    |     64.28 %      |      35.72 %       | 44.94 MB  | 50.29 MB  |  1.17 GB  |  1.09 GB  | 2341699  | 5936558 | 20  |
| 8  |       |                   uams-otel-collector-plugin.exe                   | 8008  |     NT AUTHORITY\SYSTEM      |   0.32 %    |     47.72 %      |      52.28 %       | 30.16 MB  | 44.22 MB  |  0.81 MB  |  1.17 MB  |    44    |  7634   |  9  |
| 9  |       |                         check_mk_agent.exe                         | 3120  |     NT AUTHORITY\SYSTEM      |   1.29 %    |     57.72 %      |      42.28 %       | 27.75 MB  | 41.29 MB  | 69.61 MB  | 135.38 MB |  519779  | 3378656 |  6  |
| 10 |       |                             lsass.exe                              |  732  |     NT AUTHORITY\SYSTEM      |   2.85 %    |     79.12 %      |      20.88 %       | 40.64 MB  | 38.12 MB  | 257.65 MB |  7.5 GB   | 4105570  | 3754903 | 10  |
| 11 |       |                            iexplore.exe                            | 57132 |       ZCS-SERVER\test        |     0 %     |     44.28 %      |      55.72 %       |  4.15 MB  |   29 MB   |  5.29 MB  |  5.33 MB  |   134    |   303   | 16  |
| 12 |       |                      ShellExperienceHost.exe                       | 70808 |      ZCS-SERVER\obulesu      |     0 %     |      62.5 %      |       37.5 %       | 41.51 MB  | 27.63 MB  |  0.02 MB  |  0.02 MB  |    9     |   249   | 22  |
| 13 |       |                             chrome.exe                             | 64248 |      ZCS-SERVER\obulesu      |     0 %     |     73.42 %      |      26.58 %       |  9.1 MB   | 24.58 MB  | 10.26 MB  | 69.54 MB  |  95102   |  95011  | 15  |
| 14 |       |                              dwm.exe                               | 67276 |     Window Manager\DWM-7     |   0.01 %    |     42.66 %      |      57.34 %       |  6.09 MB  | 21.59 MB  |   0 MB    |   0 MB    |    1     |    0    | 12  |
| 15 |       |                            SearchUI.exe                            | 68224 |       ZCS-SERVER\test        |     0 %     |     64.38 %      |      35.62 %       |  4.33 MB  | 19.12 MB  | 34.82 MB  | 11.91 MB  |   9005   |  2378   | 11  |
| 16 |       |                       credentials-plugin.exe                       | 14780 |     NT AUTHORITY\SYSTEM      |   0.01 %    |     70.81 %      |      29.19 %       | 10.39 MB  | 18.85 MB  |  0.01 MB  |  9.2 MB   |    12    |  69174  |  8  |
| 17 |       |                        zoomview-pinkey.exe                         | 19156 |     NT AUTHORITY\SYSTEM      |   0.04 %    |     32.73 %      |      67.27 %       |  14.9 MB  | 17.93 MB  |  0.03 MB  |  2.88 MB  |   392    |  17453  | 12  |
| 18 |       |                              mmc.exe                               | 42688 |      ZCS-SERVER\zybisys      |     0 %     |     47.06 %      |      52.94 %       | 54.37 MB  |  17.4 MB  |  0.56 MB  |  0.01 MB  |    71    |    4    | 11  |
| 19 |       |                     zoomview-pinkey-infra.exe                      | 31784 |     NT AUTHORITY\SYSTEM      |   115.8 %   |     16.46 %      |      83.54 %       |  9.64 MB  | 16.53 MB  |   0 MB    |   0 MB    |    19    |   14    | 13  |
| 20 |       | WindowsInternal.ComposableShell.Experiences.TextInput.InputApp.exe | 11368 |      ZCS-SERVER\zybisys      |     0 %     |     58.78 %      |      41.22 %       | 16.32 MB  | 15.12 MB  |   0 MB    |   0 MB    |    2     |    0    | 19  |
| 21 |       |                           fluent-bit.exe                           | 28004 |     NT AUTHORITY\SYSTEM      |   0.26 %    |     25.46 %      |      74.54 %       | 22.03 MB  | 13.36 MB  |  0.01 MB  |   0 MB    |    3     |   47    | 25  |
| 22 |       |                            vmtoolsd.exe                            | 3376  |     NT AUTHORITY\SYSTEM      |   0.08 %    |     52.39 %      |      47.61 %       | 10.91 MB  | 12.52 MB  |  16.2 MB  | 208.06 MB | 1708785  | 854468  | 10  |
| 23 |       |                            explorer.exe                            | 57164 |      ZCS-SERVER\zybisys      |     0 %     |     41.35 %      |      58.65 %       | 22.74 MB  | 11.18 MB  |  0.11 MB  |   0 MB    |   4681   |    7    |  6  |
| 24 |       |                            spoolsv.exe                             | 2904  |     NT AUTHORITY\SYSTEM      |     0 %     |     47.41 %      |      52.59 %       | 16.17 MB  | 10.35 MB  | 12.67 MB  |  4.56 MB  |  33710   |  63352  |  7  |
| 25 |       |                             avpui.exe                              | 72116 |      ZCS-SERVER\obulesu      |     0 %     |     86.72 %      |      13.28 %       |  4.8 MB   |  9.99 MB  |  0.89 MB  |   0 MB    |    18    |    0    |  9  |
| 26 |       |                          smartscreen.exe                           | 72556 |      ZCS-SERVER\obulesu      |     0 %     |     38.33 %      |      61.67 %       | 14.25 MB  |  9.85 MB  |  0.15 MB  |  0.04 MB  |   448    |   130   | 10  |
| 27 |       |                            WmiPrvSE.exe                            | 70936 |  NT AUTHORITY\LOCAL SERVICE  |   0.16 %    |     20.29 %      |      79.71 %       | 17.97 MB  |  9.55 MB  |  2.42 MB  |   0 MB    |    6     |    0    |  7  |
